"Source:","/Users/sasukoboy/Documents/GitHub/dread/schemas/robot/kikad_project/kikad_project.kicad_sch"
"Date:","Friday, February 16, 2024 at 10:26:15 AM"
"Tool:","Eeschema 7.0.9"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","DigiKey_Part_Number","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","MPN","OC_FARNELL","OC_NEWARK","PARTREV","Package","Price","Purchase-URL","RS_Components_1676068_Purchase_URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"1","3","C1, C5, C8","100uF","Device:C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","","","","","","","","","","","",""
"2","6","C2, C3, C4, C6, C7, C9","100nF","Device:C","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~","","","","","","","","","","","","","","","","","","","",""
"3","1","C10","10nF","Device:C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","","","","","","","","","","","",""
"4","2","C11, C12","10F","Device:C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","","","","","","","","","","","","","","","","","",""
"5","1","D1","BZX85C10-TAP","BZX85C10-TAP:BZX85C10-TAP","BZX85C10-TAP:DO-41_VIS","BZX85C10-TAP","","","","","","","","","","","","","","","","","","","",""
"6","1","D3","P6KE27CA","P6KE27CA:P6KE27CA","P6KE27CA:DIOAD1300W80L670D310","","","In Stock","https://www.snapeda.com/parts/P6KE27CA/Taiwan+Semiconductor/view-part/?ref=eda","600W, 27V, 5%, Bidirectional, TVS","","Taiwan Semiconductor","3.6 mm","Taiwan Semiconductor","P6KE27CA","","","","K2105","DO-15 Taiwan Semiconductor","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4809733&manufacturer=Taiwan Semiconductor&part_name=P6KE27CA&search_term=p6ke27ca","","","IPC-7351B","https://www.snapeda.com/parts/P6KE27CA/Taiwan+Semiconductor/view-part/?ref=snap"
"7","3","H1, H2, H3","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~","","","","","","","","","","","","","","","","","","","",""
"8","3","IC1, IC2, IC3","HCPL-2531","HCPL-2531:HCPL-2531","HCPL-2531:DIL08","","","In Stock","https://www.snapeda.com/parts/HCPL-2531/Broadcom+Limited/view-part/?ref=eda","Optoisolator Transistor Output 3750Vrms 2 Channel 8-DIP Gull Wing","","","","Broadcom Limited","HCPL-2531","HCPL-2531A-000E","8550026","88H7847","","DIP-8 Broadcom / Avago","None","","","","","https://www.snapeda.com/parts/HCPL-2531/Broadcom+Limited/view-part/?ref=snap"
"9","1","J1","236-102","236-102:236-102","236-102:CONN_236-102_WAG","236-102","","","","","","","","","","","","","","","","","","","",""
"10","1","J2","236-104","236-104:236-104","236-104:CONN_236-104_WAG","236-104","","","","","","","","","","","","","","","","","","","",""
"11","1","J3","236-102",":236-102_1","236-102:CONN_236-102_WAG","236-102","","","","","","","","","","","","","","","","","","","",""
"12","3","J4, J7, J16","236-102",":236-102_5","236-102:CONN_236-102_WAG","236-102","","","","","","","","","","","","","","","","","","","",""
